1,1
2,2
3,3
4,1
5,4
6,5
7,6
8,5
9,7
10,1
11,8
12,2
13,8
14,9
15,1
16,2
17,6
18,8
19,2
20,2
21,10
22,3
23,9
24,4
25,9
26,10
27,9
28,5
29,10
30,2
31,3
32,10
33,10
34,6
35,8
36,5
37,7
38,3
39,9
40,9
41,8
42,9
43,5
44,8
45,7
46,10
47,11
48,5
49,6
50,2
51,5
52,10
53,3
54,11
55,6
56,3
57,5
58,10
59,1
60,10
61,11
62,6
63,6
64,12
65,11
66,8
67,9
68,2
69,3
70,3
71,9
72,8
73,3
74,6
75,11
76,11
77,9
78,12
79,11
80,6
81,12
82,9
83,11
84,1
85,7
86,1
87,9
88,8
89,5
90,2
91,11
92,9
93,8
94,4
95,7
96,12
97,6
98,8
99,7
100,10
101,3
102,5
103,2
104,4
105,10
106,5
107,5
108,7
109,1
110,5
111,5
112,5
113,10
114,6
115,11
